,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
207,WP_000208515.1,2.6.1.42,Escherichia coli,R208,Branched-chain-amino-acid transaminase,R01090,MRL,C00026; C00123,C00025; C00233,Km_C00025: 1.569196939; Km_C00233: 0.929303646; Km_C00026: 1.848888888888889; Km_C00123: 0.594790995,Kcat_F: 0.366190196; Kcat_R: 0.310941017,C00025;C00233;C00671;C00026;C00407;C00123;C00183;C00141,C00407_KI: 0.771805584;C00141_KI: 0.903015196;C00025_KI: 1.569196939;C00123_KI: 0.594790995;C00671_KI: 0.955110371;C00233_KI: 0.929303646;C00183_KI: 0.826489449;C00026_KI: 0.717073381
211,WP_000068701.1,2.1.2.10,Escherichia coli,R212,Aminomethyltransferase,R02300,MRL,C03479,C00001; C00445,Km_C00001: 0.944258809; Km_C00445: 0.069055647; Km_C03479: 0.062393375,Kcat_F: 21.60812103; Kcat_R: 10.308430655499999,C00037;C01242;C00003;C00445;C02972;C00101;C00014;C00004;C00011;C00001;C03479;C00143;C00080,C00445_KI: 0.069055647;C00003_KI: 0.126247987;C03479_KI: 0.062393375;C00143_KI: 0.043544259;C00004_KI: 0.051427435;C02972_KI: 0.6555470248181817;C00014_KI: 2.288124084;C00101_KI: 0.062902413;C00011_KI: 1.108707547;C01242_KI: 0.6555470248181817;C00001_KI: 0.944258809;C00080_KI: 0.996665478;C00037_KI: 1.457690239
212,WP_000095707.1,2.7.2.1,Escherichia coli,R213,Acetate kinase,R00315,MRL,C00002; C00033,C00008; C00227,Km_C00008: 0.151691675; Km_C00227: 1.3033333333333335; Km_C00002: 0.122388884; Km_C00033: 46.92825317,Kcat_F: 1.4999326265; Kcat_R: 776.364246988,C00163;C00008;C00227;C03444;C11592;C00002;C02876;C00033,C00008_KI: 0.151691675;C11592_KI: 10.854500670714286;C02876_KI: 0.5455302;C00227_KI: 0.54825443;C00033_KI: 46.92825317;C00163_KI: 27.57633972;C03444_KI: 0.109046616;C00002_KI: 0.122388884
214,WP_000055746.1,6.4.1.2,Escherichia coli,R215,Acetyl-coa carboxylase,R00742,MRL,C00002; C00024; C00011,C00008; C00009; C00083,Km_C00008: 0.041535225; Km_C00009: 0.312815398; Km_C00083: 0.1; Km_C00002: 0.031438239; Km_C00024: 0.023739677; Km_C00011: 0.259498209,Kcat_F: 0.26705086833333336; Kcat_R: 0.21057309933333335,C00008;C04419;C00024;C00011;C00083;C00002;C00009;C06250,C06250_KI: 0.11450010083333334;C00083_KI: 0.017973857;C00002_KI: 0.031438239;C00024_KI: 0.023739677;C00009_KI: 0.312815398;C00011_KI: 0.259498209;C04419_KI: 0.11450010083333334;C00008_KI: 0.041535225
217,WP_000224879.1,2.4.2.1,Escherichia coli,R218,Purine-nucleoside phosphorylase,R01561,MRL,C00009; C00212,C00147; C00620,Km_C00147: 0.09873835; Km_C00620: 0.2; Km_C00009: 0.330840468; Km_C00212: 0.060333014,Kcat_F: 4.789752396; Kcat_R: 16.672689039999998,C01762;C00242;C00153;C03150;C15587;C00294;C00330;C05841;C00253;C00620;C00385;C00672;C00009;C00262;C00526;C00106;C00147;C15586;C00559;C05512;C00387;C00212;C00080,C00212_KI: 0.060333014;C00559_KI: 0.056103759;C15587_KI: 0.16081397695238092;C00385_KI: 0.062240914;C00330_KI: 0.067407027;C00387_KI: 0.061721709;C00106_KI: 0.118746132;C03150_KI: 0.105922893;C05512_KI: 0.076899521;C00080_KI: 0.754662514;C15586_KI: 0.16081397695238092;C00153_KI: 0.128533378;C00147_KI: 0.09873835;C00262_KI: 0.134442046;C00009_KI: 0.330840468;C00294_KI: 0.149869353;C01762_KI: 0.078980707;C05841_KI: 0.176781312;C00672_KI: 0.281567872;C00526_KI: 0.180797607;C00253_KI: 0.090032406;C00620_KI: 0.280303895;C00242_KI: 0.082168639
227,WP_001021161.1,2.5.1.78,Escherichia coli,R228,"6,7-dimethyl-8-ribityllumazine synthase",R04457,MRL,C04732; C15556,C00001; C00009; C04332,Km_C00001: 0.43652457; Km_C00009: 0.311814249; Km_C04332: 0.01141674; Km_C04732: 0.0042; Km_C15556: 0.062,Kcat_F: 5.263137689; Kcat_R: 4.577073394,C04732;C00001;C04332;C15556;C00009,C00001_KI: 0.43652457;C04332_KI: 0.01141674;C15556_KI: 0.1930054645;C04732_KI: 0.012266299;C00009_KI: 0.311814249
228,WP_000587764.1,5.1.3.20,Escherichia coli,R229,Adp-glyceromanno-heptose 6-epimerase,R05176,MRL,C06397,C06398,Km_C06398: 0.095850959; Km_C06397: 0.1,Kcat_F: 0.340706841; Kcat_R: 0.340706841,C06397;C06398,C06398_KI: 0.095850959;C06397_KI: 0.095850959
229,WP_000301720.1,1.1.1.49,Escherichia coli,R230,Glucose-6-phosphate dehydrogenase (nadp+),R00835,MRL,C00006; C00092,C00005; C00080; C01236,Km_C00005: 0.008727342; Km_C00080: 1.316865087; Km_C01236: 0.131362155; Km_C00006: 11600.005874999999; Km_C00092: 0.1,Kcat_F: 93.754836675; Kcat_R: 13.76294708,C00006;C01236;C01172;C00092;C00005;C00080,C01172_KI: 0.200977385;C00006_KI: 0.016866822;C00080_KI: 1.316865087;C01236_KI: 0.131362155;C00092_KI: 0.200977385;C00005_KI: 0.008727342
231,WP_001025322.1,6.1.1.19,Escherichia coli,R232,Arginine-trna ligase,R03646,MRL,C00002; C00062; C01636,C00013; C00020; C02163,Km_C00013: 0.0993158; Km_C00020: 0.08540345; Km_C02163: 0.466379227; Km_C00002: 0.148291394; Km_C00062: 0.098885491; Km_C01636: 1.9,Kcat_F: 5.171273358; Kcat_R: 2.1367699195000003,C00013;C00020;C01636;C00062;C00002;C02163,C00002_KI: 0.148291394;C02163_KI: 0.10797403375;C00020_KI: 0.08540345;C00062_KI: 0.098885491;C00013_KI: 0.0993158;C01636_KI: 0.10797403375
233,WP_000351477.1,1.5.1.34,Escherichia coli,R234,"6,7-dihydropteridine reductase",R01793,MRL,C00004; C00080; C00268,C00003; C00272,Km_C00003: 0.148144722; Km_C00272: 0.094508976; Km_C00004: 0.091; Km_C00080: 0.940049827; Km_C00268: 0.128,Kcat_F: 0.967572235; Kcat_R: 1.6511773555,C00006;C00003;C00004;C05649;C00268;C05650;C00272;C00005;C00080,C05649_KI: 0.159457043;C00004_KI: 0.101567693;C00272_KI: 0.094508976;C00005_KI: 0.097939037;C00006_KI: 0.102823012;C05650_KI: 0.147017151;C00003_KI: 0.148144722;C00268_KI: 0.12505959;C00080_KI: 0.940049827
236,WP_000284050.1,5.3.1.28,Escherichia coli,R237,D-sedoheptulose 7-phosphate isomerase,R05645,MRL,C05382,C07836,Km_C07836: 0.899409652; Km_C05382: 1.2,Kcat_F: 0.44; Kcat_R: 17.21868603,C05382;C07836,C07836_KI: 0.899409652;C05382_KI: 0.158092499
237,WP_000055072.1,3.6.1.1,Escherichia coli,R238,Inorganic diphosphatase,R00004,MRL,C00001; C00013,C00009,Km_C00009: 0.349954635; Km_C00001: 0.391432196; Km_C00013: 0.0034,Kcat_F: 3.073547044; Kcat_R: 3.341416999,C00001;C00013;C00009,C00009_KI: 0.349954635;C00001_KI: 0.391432196;C00013_KI: 0.080407746
238,WP_000191372.1,2.3.1.39,Escherichia coli,R239,[acyl-carrier-protein] s-malonyltransferase,R01626,MRL,C00083; C00229,C00010; C01209,Km_C00010: 0.065542154; Km_C01209: 0.14874738466666668; Km_C00083: 0.029699999999999997; Km_C00229: 0.351,Kcat_F: 1050.000235; Kcat_R: 9.578607456,C00083;C01209;C00010;C00229,C01209_KI: 0.06569522250000001;C00083_KI: 0.065848291;C00010_KI: 0.065542154;C00229_KI: 0.06569522250000001
239,WP_000646014.1,1.1.1.103,Escherichia coli,R240,L-threonine 3-dehydrogenase,R01465,MRL,C00003; C00188,C00004; C00080; C03508,Km_C00004: 0.044358581; Km_C00080: 3.786961317; Km_C03508: 0.436029464; Km_C00003: 0.118557818; Km_C00188: 0.459859401,Kcat_F: 142.7152794; Kcat_R: 243.17638395,C00003;C00004;C03508;C00188;C00080,C03508_KI: 0.436029464;C00188_KI: 0.459859401;C00004_KI: 0.044358581;C00080_KI: 3.786961317;C00003_KI: 0.118557818
240,WP_000844219.1,1.1.1.251,Escherichia coli,R241,Galactitol-1-phosphate 5-dehydrogenase,R05147,MRL,C00003; C06311,C00004; C00080; C06312,Km_C00004: 0.044706002; Km_C00080: 2.378057241; Km_C06312: 0.390606076; Km_C00003: 0.098221257; Km_C06311: 0.138867036,Kcat_F: 2.5876312025; Kcat_R: 1.6005881345,C00003;C01097;C00004;C06311;C06312;C00080,C00080_KI: 2.378057241;C06311_KI: 0.138867036;C00003_KI: 0.098221257;C00004_KI: 0.044706002;C06312_KI: 0.390606076;C01097_KI: 0.390606076
242,WP_000045178.1,2.4.2.3,Escherichia coli,R243,Uridine phosphorylase,R01876,MRL,C00009; C00299,C00106; C00620,Km_C00106: 0.203466654; Km_C00620: 0.627589643; Km_C00009: 1.061166644; Km_C00299: 0.91,Kcat_F: 2.234894958; Kcat_R: 4.266786095,C07649;C00620;C16633;C00299;C00106;C00009,C07649_KI: 0.148749098;C00620_KI: 0.627589643;C00009_KI: 1.061166644;C16633_KI: 0.490660271;C00106_KI: 0.203466654;C00299_KI: 0.412329316
244,WP_000227927.1,4.2.1.59,Escherichia coli,R245,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,R04537,MRL,C04620,C00001; C05751,Km_C00001: 1.233488917; Km_C05751: 1.233488917; Km_C04620: 1.233488917,Kcat_F: 36.94316617111479; Kcat_R: 2.636789227,C00001;C04620;C05751,C04620_KI: 1.233488917;C05751_KI: 1.233488917;C00001_KI: 1.233488917
245,WP_001130211.1,4.4.1.21,Escherichia coli,R246,S-ribosylhomocysteine lyase,R01291,MRL,C03539,C00155; C11838,Km_C00155: 0.1613902; Km_C11838: 0.0939451; Km_C03539: 0.0265,Kcat_F: 0.4; Kcat_R: 3.607027466,C11838;C03539;C00155,C03539_KI: 0.063881658;C00155_KI: 0.1613902;C11838_KI: 0.112635929
246,WP_000288146.1,2.3.1.180,Escherichia coli,R247,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R01624,MRL,C00024; C00229,C00010; C03939,Km_C00010: 0.064401604; Km_C03939: 0.053450802; Km_C00024: 0.042499999999999996; Km_C00229: 0.053450802,Kcat_F: 18.53948396; Kcat_R: 26.2929435,C05745;C05750;C00024;C01209;C05762;C00010;C05223;C03939;C05752;C05756;C05746;C00229;C05755;C00011;C05749;C05759;C05753;C05761;C05744,C00010_KI: 0.064401604;C05759_KI: 0.1853001103333333;C05744_KI: 0.1853001103333333;C05761_KI: 0.1853001103333333;C00024_KI: 0.057133365;C05762_KI: 0.1853001103333333;C05746_KI: 0.1853001103333333;C05756_KI: 0.1853001103333333;C00011_KI: 0.434365362;C05745_KI: 0.1853001103333333;C05752_KI: 0.1853001103333333;C05749_KI: 0.1853001103333333;C05755_KI: 0.1853001103333333;C00229_KI: 0.1853001103333333;C01209_KI: 0.1853001103333333;C03939_KI: 0.1853001103333333;C05753_KI: 0.1853001103333333;C05750_KI: 0.1853001103333333;C05223_KI: 0.1853001103333333
247,WP_000165552.1,6.1.1.2,Escherichia coli,R248,Tryptophan-trna ligase,R03664,MRL,C00002; C00078; C01652,C00013; C00020; C03512,Km_C00013: 0.136781156; Km_C00020: 0.058931675; Km_C03512: 0.0578675728; Km_C00002: 0.063056268; Km_C00078: 0.029948765; Km_C01652: 0.00062,Kcat_F: 33.58905062666667; Kcat_R: 29.134439466,C00013;C00020;C00078;C03512;C00002;C01652,C00078_KI: 0.029948765;C03512_KI: 0.072179466;C00013_KI: 0.136781156;C00020_KI: 0.058931675;C01652_KI: 0.072179466;C00002_KI: 0.063056268
248,WP_000175052.1,6.3.1.5,Escherichia coli,R249,Nad+ synthase,R00189,MRL,C00002; C00014; C00857,C00003; C00013; C00020,Km_C00003: 0.113475792; Km_C00013: 0.135959432; Km_C00020: 0.046021298; Km_C00002: 0.050445296; Km_C00014: 0.113690525; Km_C00857: 0.11,Kcat_F: 1.867045793; Kcat_R: 1.9377583366666666,C00013;C00003;C00020;C00014;C00002;C00857,C00013_KI: 0.135959432;C00003_KI: 0.113475792;C00020_KI: 0.046021298;C00857_KI: 0.084738508;C00002_KI: 0.050445296;C00014_KI: 0.113690525
249,WP_000413677.1,6.3.2.4,Escherichia coli,R250,D-alanine-d-alanine ligase,R01150,MRL,C00002; C00133,C00008; C00009; C00993,Km_C00008: 0.057315212; Km_C00009: 1.10325253; Km_C00993: 0.355595797; Km_C00002: 0.066742077; Km_C00133: 0.5656,Kcat_F: 8.840759384666667; Kcat_R: 4.654659829333333,C00008;C00133;C00993;C00002;C00009,C00008_KI: 0.057315212;C00009_KI: 1.10325253;C00002_KI: 0.066742077;C00993_KI: 0.355595797;C00133_KI: 0.670099854
250,WP_000799969.1,1.2.1.11,Escherichia coli,R251,Aspartate-semialdehyde dehydrogenase,R02291,MRL,C00006; C00009; C00441,C00005; C00080; C03082,Km_C00005: 0.047163811; Km_C00080: 3.864613771; Km_C03082: 0.193837956; Km_C00006: 562.5500000000001; Km_C00009: 1.101975083; Km_C00441: 0.2,Kcat_F: 141.94885694666667; Kcat_R: 109.543413405,C00006;C00441;C00005;C00009;C03082;C00080,C00006_KI: 0.075580724;C00005_KI: 0.047163811;C00080_KI: 3.864613771;C00009_KI: 1.101975083;C03082_KI: 0.193837956;C00441_KI: 0.221252576
251,WP_000250006.1,2.7.7.7,Escherichia coli,R252,Dna-directed dna polymerase,R00375,MRL,C00131,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0544451435; Km_C00131: 0.00028,Kcat_F: 1.69; Kcat_R: 0.000582467,C00286;C00013;C00131;C00039;C00458;C00459,C00459_KI: 0.044189151;C00286_KI: 0.034297802;C00013_KI: 0.108610287;C00458_KI: 0.036657117;C00131_KI: 0.037639029;C00039_KI: 0.0522786772
255,WP_000818618.1,2.7.1.71,Escherichia coli,R256,Shikimate kinase,R02412,MRL,C00002; C00493,C00008; C03175,Km_C00008: 0.095129371; Km_C03175: 0.124720573; Km_C00002: 0.120733179; Km_C00493: 6.390499999999999,Kcat_F: 41.185581205; Kcat_R: 29.161481860000002,C00002;C00493;C03175;C00008,C00008_KI: 0.095129371;C00493_KI: 0.439688474;C03175_KI: 0.124720573;C00002_KI: 0.120733179
256,WP_000071134.1,5.4.2.10,Escherichia coli,R257,Phosphoglucosamine mutase,R02060,MRL,C06156,C00352,Km_C00352: 0.05; Km_C06156: 0.08,Kcat_F: 3.592965661; Kcat_R: 5.16,C06156;C00352,C06156_KI: 0.110812664;C00352_KI: 0.11278379
257,WP_000551807.1,1.17.7.1,Escherichia coli,R258,(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),R08689,MRL,C00138; C11453,C00001; C00139; C11811,Km_C00001: 8.255581856; Km_C00139: 8.255581856; Km_C11811: 8.255581856; Km_C00138: 8.255581856; Km_C11453: 8.255581856,Kcat_F: 36.94316617111479; Kcat_R: 3.301098181,C11811;C00001;C00139;C00138;C11453,C11453_KI: 8.255581856;C11811_KI: 8.255581856;C00139_KI: 8.255581856;C00138_KI: 8.255581856;C00001_KI: 8.255581856
259,WP_001187559.1,2.1.2.3,Escherichia coli,R260,Phosphoribosylaminoimidazolecarboxamide formyltransferase,R01127,MRL,C00001; C00130,C04734,Km_C04734: 0.02190749; Km_C00001: 0.619901419; Km_C00130: 0.037935175,Kcat_F: 1.596497832; Kcat_R: 2.206900425,C00130;C04677;C04734;C00234;C00101;C00001,C00130_KI: 0.037935175;C00101_KI: 0.024753472;C04734_KI: 0.02190749;C04677_KI: 0.023027176;C00234_KI: 0.025399761;C00001_KI: 0.619901419
260,WP_001300904.1,4.1.1.19,Escherichia coli,R261,Arginine decarboxylase,R00566,MRL,C00062,C00011; C00179,Km_C00011: 0.851434171; Km_C00179: 0.144256741; Km_C00062: 0.136584967,Kcat_F: 5.400355746; Kcat_R: 2.111095902,C00179;C00062;C00011,C00062_KI: 0.136584967;C00011_KI: 0.851434171;C00179_KI: 0.144256741
262,WP_000800512.1,4.1.2.14,Escherichia coli,R263,2-dehydro-3-deoxy-phosphogluconate aldolase,R00471,MRL,C05946,C00022; C00048,Km_C00022: 10.0; Km_C00048: 0.872616529; Km_C05946: 0.528768599,Kcat_F: 1.249629426; Kcat_R: 0.630864713,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421
263,WP_000189743.1,5.3.1.6,Escherichia coli,R264,Ribose-5-phosphate isomerase,R01056,MRL,C00117,C00199,Km_C00199: 0.370342284; Km_C00117: 2.776666666666667,Kcat_F: 2100.0; Kcat_R: 0.083821813,C00020;C00117;C01112;C00199,C01112_KI: 0.419934094;C00117_KI: 1.286905289;C00020_KI: 0.045710031;C00199_KI: 0.370342284
264,WP_001295286.1,2.6.1.87,Escherichia coli,R265,Udp-4-amino-4-deoxy-l-arabinose aminotransferase,R07659,MRL,C00025; C16155,C00026; C16153,Km_C00026: 0.283997685; Km_C16153: 0.545942113; Km_C00025: 0.807886541; Km_C16155: 0.545942113,Kcat_F: 11.49438924; Kcat_R: 18.25842888,C16153;C00025;C16155;C00026,C16153_KI: 0.545942113;C00026_KI: 0.283997685;C00025_KI: 0.807886541;C16155_KI: 0.545942113
265,WP_000700894.1,5.3.1.25,Escherichia coli,R266,L-fucose isomerase,R03163,MRL,C01019,C01721,Km_C01721: 2.823926687; Km_C01019: 43.5,Kcat_F: 9.570708615; Kcat_R: 10.75815745,C01721;C01019,C01721_KI: 2.823926687;C01019_KI: 35.92871094
266,WP_000912345.1,6.1.1.16,Escherichia coli,R267,Cysteine-trna ligase,R03650,MRL,C00002; C00097; C01639,C00013; C00020; C03125,Km_C00013: 0.07970883; Km_C00020: 0.024324605; Km_C03125: 0.032692794854545446; Km_C00002: 0.038747367; Km_C00097: 0.012880445; Km_C01639: 0.007802727272727273,Kcat_F: 0.9302717523333334; Kcat_R: 0.4245691145,C00013;C01639;C00020;C00097;C00002;C03125,C00020_KI: 0.024324605;C03125_KI: 0.038915311749999994;C01639_KI: 0.038915311749999994;C00002_KI: 0.038747367;C00097_KI: 0.012880445;C00013_KI: 0.07970883
267,WP_000591795.1,2.7.1.11,Escherichia coli,R268,6-phosphofructokinase,R00756,MRL,C00002; C00085,C00008; C00354,Km_C00008: 0.068868771; Km_C00354: 0.123040177; Km_C00002: 0.073803619; Km_C00085: 0.206363901,Kcat_F: 102.0948756; Kcat_R: 68.69468206549999,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919
277,WP_000423729.1,4.3.2.2,Escherichia coli,R278,Adenylosuccinate lyase,R01083,MRL,C03794,C00020; C00122,Km_C00020: 0.094522104; Km_C00122: 0.39424628; Km_C03794: 0.057547767,Kcat_F: 0.405179704; Kcat_R: 9.415351124,C00122;C00020;C04677;C03794;C04823,C04823_KI: 0.060204025;C00020_KI: 0.094522104;C03794_KI: 0.057547767;C04677_KI: 0.05923371;C00122_KI: 0.39424628
279,WP_000555849.1,3.5.1.10,Escherichia coli,R280,Formyltetrahydrofolate deformylase,R00944,MRL,C00001; C00234,C00058; C00101,Km_C00058: 3.262167215; Km_C00101: 0.054344244; Km_C00001: 1.889859676; Km_C00234: 0.049,Kcat_F: 1.8252252915; Kcat_R: 2.723719345,C00058;C00001;C00234;C00101,C00101_KI: 0.054344244;C00234_KI: 0.061632574;C00001_KI: 1.889859676;C00058_KI: 3.262167215
280,WP_001300813.1,4.2.1.24,Escherichia coli,R281,Porphobilinogen synthase,R00036,MRL,C00430,C00001; C00931,Km_C00001: 1.522294879; Km_C00931: 0.065090634; Km_C00430: 0.439851403,Kcat_F: 4.608057704; Kcat_R: 3.7278262284999997,C00001;C00931;C00430,C00001_KI: 1.522294879;C00430_KI: 0.439851403;C00931_KI: 0.065090634
282,WP_000553451.1,3.1.3.25,Escherichia coli,R283,Inositol-phosphate phosphatase,R01185,MRL,C00001; C01177,C00009; C00137,Km_C00009: 0.369495213; Km_C00137: 0.262719423; Km_C00001: 0.137840033; Km_C01177: 0.047,Kcat_F: 3.4873681715; Kcat_R: 12.437051677,C00137;C15585;C01177;C03546;C00001;C00009;C04006,C00137_KI: 0.262719423;C00001_KI: 0.137840033;C15585_KI: 0.147341043;C00009_KI: 0.369495213;C01177_KI: 0.072910108;C03546_KI: 0.072910108;C04006_KI: 0.072910108
285,WP_000857856.1,4.1.3.1,Escherichia coli,R286,Isocitrate lyase,R00479,MRL,C00311,C00042; C00048,Km_C00042: 0.59; Km_C00048: 0.13; Km_C00311: 0.235073432,Kcat_F: 8.906025968; Kcat_R: 13.468705019500002,C02287;C00490;C01327;C00417;C00160;C00042;C00197;C00048;C00698;C07600;C00026;C00149;C02170;C00209;C00074;C05669;C00311;C03071;C00383,C00026_KI: 0.644850135;C00698_KI: 2.674889326;C00074_KI: 0.25842154;C00311_KI: 0.235073432;C00042_KI: 0.396524251;C00048_KI: 0.266136676;C00160_KI: 0.613810658;C05669_KI: 0.771800935;C07600_KI: 0.06708055;C00197_KI: 0.373553157;C02287_KI: 0.302843213;C00490_KI: 0.32832855;C02170_KI: 0.62839365;C03071_KI: 0.679724514;C00149_KI: 0.372352451;C01327_KI: 1.650005341;C00417_KI: 0.298337042;C00209_KI: 0.250339538;C00383_KI: 0.316286236
286,WP_001235264.1,1.3.5.1,Escherichia coli,R287,Succinate dehydrogenase,R02164,MRL,C00042; C00399,C00122; C00390,Km_C00122: 0.230714247; Km_C00390: 0.019629668; Km_C00042: 27.275; Km_C00399: 0.01200348,Kcat_F: 21.95; Kcat_R: 349.5079144075,C00390;C00122;C00383;C04284;C00036;C00042;C00399;C02575,C02575_KI: 0.018486969;C00042_KI: 0.306212515;C00122_KI: 0.230714247;C00390_KI: 0.019629668;C00399_KI: 0.01200348;C00036_KI: 0.099285461;C00383_KI: 0.318282217;C04284_KI: 0.01078486
287,WP_000816480.1,5.4.2.7,Escherichia coli,R288,Phosphopentomutase,R02749,MRL,C00672,C00673,Km_C00673: 0.332319379; Km_C00672: 0.016,Kcat_F: 0.500361801; Kcat_R: 0.494703192,C00673;C00672;C00117;C00620,C00673_KI: 0.332319379;C00117_KI: 0.350844055;C00620_KI: 0.378889441;C00672_KI: 0.374694705
288,WP_000699450.1,4.2.1.46,Escherichia coli,R289,"Dtdp-glucose 4,6-dehydratase",R06513,MRL,C00842,C00001; C11907,Km_C00001: 0.633973479; Km_C11907: 0.8684867395; Km_C00842: 1.103,Kcat_F: 3.4000000000000004; Kcat_R: 1.687189013,C00001;C11907;C00842,C00842_KI: 0.034962106;C00001_KI: 0.633973479;C11907_KI: 0.3344677925
289,WP_001008532.1,1.1.1.100,Escherichia coli,R290,3-oxoacyl-[acyl-carrier-protein] reductase,R02767,MRL,C00006; C01271,C00005; C00080; C00685,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C00685: 0.6848361773333332; Km_C00006: 0.064330414; Km_C01271: 0.6848361773333332,Kcat_F: 0.049053546; Kcat_R: 0.59,C00006;C04619;C04620;C16220;C05750;C05757;C05762;C04633;C04618;C04688;C05756;C05746;C05747;C01271;C05759;C16219;C05753;C05744;C00005;C00685;C00080,C04633_KI: 0.43518429259999997;C05762_KI: 0.43518429259999997;C05746_KI: 0.43518429259999997;C05747_KI: 0.43518429259999997;C00080_KI: 1.980178118;C04688_KI: 0.43518429259999997;C00005_KI: 0.030566752;C05759_KI: 0.43518429259999997;C01271_KI: 0.43518429259999997;C04620_KI: 0.43518429259999997;C16220_KI: 0.055316702;C00685_KI: 0.43518429259999997;C16219_KI: 0.045529477;C04618_KI: 0.43518429259999997;C00006_KI: 0.064330414;C05756_KI: 0.43518429259999997;C05744_KI: 0.43518429259999997;C04619_KI: 0.43518429259999997;C05757_KI: 0.43518429259999997;C05750_KI: 0.43518429259999997;C05753_KI: 0.43518429259999997
298,WP_001301272.1,3.5.1.16,Escherichia coli,R299,Acetylornithine deacetylase,R00669,MRL,C00001; C00437,C00033; C00077,Km_C00033: 6.338354111; Km_C00077: 0.857986271; Km_C00001: 2.540906429; Km_C00437: 1.8800000000000001,Kcat_F: 2.739242159; Kcat_R: 1.5797537139999998,C00077;C00001;C00437;C00327;C15532;C00033,C00327_KI: 0.561292887;C00033_KI: 6.338354111;C00001_KI: 2.540906429;C00077_KI: 0.857986271;C15532_KI: 2.1872049808;C00437_KI: 0.637485206
300,WP_000860273.1,1.1.1.305,Escherichia coli,R301,Udp-glucuronic acid dehydrogenase (udp-4-keto-hexauronic acid,R07658,MRL,C00003; C00167,C00004; C00011; C00080; C16155,Km_C00004: 0.015558287; Km_C00011: 0.361799926; Km_C00080: 0.791858971; Km_C16155: 0.2778183066; Km_C00003: 0.036740568; Km_C00167: 0.183133781,Kcat_F: 12.14005045; Kcat_R: 15.374764384999999,C16155;C00167;C00003;C00004;C00011;C00080,C00167_KI: 0.183133781;C16155_KI: 0.2778183066;C00011_KI: 0.361799926;C00080_KI: 0.791858971;C00004_KI: 0.015558287;C00003_KI: 0.036740568
301,WP_000689844.1,3.2.2.16,Escherichia coli,R302,Methylthioadenosine nucleosidase,R01401,MRL,C00001; C00170,C00147; C03089,Km_C00147: 0.036190797; Km_C03089: 0.15849328; Km_C00001: 0.665490389; Km_C00170: 1150.0000695,Kcat_F: 1.3354654545; Kcat_R: 6.2532136215000005,C00001;C03089;C00170;C00147,C00147_KI: 0.036190797;C00001_KI: 0.665490389;C03089_KI: 0.15849328;C00170_KI: 0.008270345
302,WP_001012606.1,2.2.1.6,Escherichia coli,R303,Acetolactate synthase,R00006,MRL,C00011; C00900,C00022,Km_C00022: 11.079999999999998; Km_C00011: 5.445468903; Km_C00900: 0.855534971,Kcat_F: 4.7650851455000005; Kcat_R: 38.599999999999994,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971
308,WP_001109196.1,2.5.1.54,Escherichia coli,R309,3-deoxy-7-phosphoheptulonate synthase,R01826,MRL,C00001; C00074; C00279,C00009; C04691,Km_C00009: 2.103025675; Km_C04691: 0.248493344; Km_C00001: 7.373492241; Km_C00074: 0.65; Km_C00279: 0.25,Kcat_F: 16.350614169999997; Kcat_R: 17.252663589999997,C00001;C00279;C04691;C00009;C00074,C00074_KI: 0.256724924;C00009_KI: 2.103025675;C00001_KI: 7.373492241;C00279_KI: 0.384478152;C04691_KI: 0.248493344
